id,date,text,views,forwards,replies,channel_short
14854,2026-05-10T12:06:05+00:00,Памятник «Стерегущему» на Каменноостровском проспекте. В почетном карауле — матросы со «Стерегущего». Санкт-Петербург. 10 мая 1911.,1968,5,,historyrussi
14853,2026-05-09T18:00:09+00:00,"Праздник в честь полиции Петербурга, 9 мая 1913 года.",1766,8,,historyrussi
14852,2026-05-09T12:03:05+00:00,"Двa coвeтcкиx тaнкиcтa пoзиpyют для фoтoгpaфии, лёжa пepeд нeмeцким тяжёлым тaнкoм Pz.Kpfw.Vl Ausf.B «Kopoлeвcкий тигp» из cocтaвa 502-гo тяжёлoгo тaнкoвoгo бaтaльoнa CC, бpoшeннoгo в paйoнe Зeeлoвcкиx выcoт. Гepмaния, вecнa 1945 гoдa.",1984,10,,historyrussi
14851,2026-05-09T07:03:04+00:00,"Существовал официальный приказ приложить максимум усилий для того, чтобы люди о войне забыли и сосредоточили внимание на активном восстановлении страны.Всем известный парад Победы, ставший первым после окончания кровопролития, прошел в Москве в конце июня победного года.Празднование главного праздника страны – «Дня Победы» с 1948 года было отменено, а 9 мая был обычным рабочим днем.Впервые обширные празднования великого дня были организованы в 1965 году, после чего он был объявлен выходным.",1954,20,,historyrussi
14850,2026-05-09T05:25:05+00:00,Поздравляем с Днём Победы!,1852,13,,historyrussi
14849,2026-05-06T12:03:02+00:00,"Русский полярный исследователь Георгий Седов со своей супругой Верой, май 1912 года.",2282,11,,historyrussi
14848,2026-05-05T12:02:13+00:00,​​25-летний юбилей пекарни Филиппова. Санкт-Петербург. Май 1899 года.,2190,10,,historyrussi
14847,2026-05-04T12:06:11+00:00,"**Разрешение на право пользования мобильным телефоном, Россия, 1990-е.**

В 1990–х для использования мобильного телефона необходимо было получить на это разрешение. Такие разрешения действовали до начала 2000–х годов и были отменены в процессе массового распространения мобильных телефонов в 2002–2004 годах.",5845,65,,historyrussi
14846,2026-05-03T06:57:08+00:00,"[​​](https://telegra.ph/file/43b915d8bcc4b5c7428c4.jpg)**Вездеход**

31 мая 1915 года было проведено испытание первого русского танка «Вездеход», разработанного конструктором Александром Пороховщиковым. Танк Пороховщикова можно считать не только первым русским танком, но и первым танком вообще, так как идея его возникла и была осуществлена раньше, чем в других странах. Кроме того, Пороховщиков во многом предвосхитил развитие танков в будущем. В конструкции машины были предусмотрены все элементы современного танка: гусеничный движитель, броневой корпус и вооружение, расположенное во вращающейся башне.

В начале Первой мировой войны, в августе 1914 года, мастер Русско-Балтийского машиностроительного завода в Риге Пороховщиков обратился в ставку Верховного главнокомандования русской армии с предложением проекта быстроходной боевой гусеничной машины для движения по бездорожью. Предварительные расчеты Пороховщикова пришлись по душе высшему военному руководству: кроме высокой проходимости Пороховщиков обещал и плавучесть машины. Проект одобрили и разрешение на постройку «Вездехода» было получено 13 января 1915 г, было выделено 9660 рублей. 

1 февраля в Рижских авторемонтных мастерских завода «Руссо-Балт», что были при казармах Нижегородского пехотного полка, 25 солдат-мастеровых и столько же наемных квалифицированных рабочих приступили к изготовлению опытного образца первого в мире танка.

Машина снабжалась обтекаемым корпусом с нишей воздухозаборника впереди. По хорошей дороге Вездеход должен был двигаться на заднем барабане и колесах, а на рыхлом грунте ложиться на гусеницу. Такая схема, при относительной простоте, обладала одним глобальным недостатком — фактически Вездеход мог двигаться только по прямой, поскольку поворот направляющих колес влево и вправо мог привести к их полной поломке.

Опытный образец, с перерывами, продолжал испытываться до декабря 1915 г., после чего генерал-лейтенанту Коваленко было послано соответствующее донесение. В частности указывалось, что «построенный экземпляр „Вездехода“ не выказал всех тех качеств, которые обусловлены докладом № 8101 например, не мог ходить по рыхлому снегу глубиной около 1 фута (30 см), а испытания хода по воде сделано не было…».

От дальнейших работ по «Вездеходу» решили отказаться, тем более, что за это время было истрачено 18090 рублей. Военное ведомство обязало Пороховщикова вернуть в казну деньги, выделенные на постройку машины, а сам Вездеход отправить в ГВТУ.",2383,10,,historyrussi
14845,2026-05-02T06:46:07+00:00,"[​​](https://telegra.ph/file/151bf417b027bfb4a48a8.jpg)[​​](https://telegra.ph/file/151bf417b027bfb4a48a8.jpg)**Пожарские котлеты**

Во время одной из поездок император Николай I со свитой остановился пообедать в трактире Пожарского в Торжке. Для хозяев это была, конечно, огромная честь, но, радовались они не долго. Николай Павлович приказал подать котлеты из говядины. А вот говядины у Пожарских не оказалось – только ребра.

Жена хозяина, Дарья Евдокимовна, решилась на хитрость, мелко порубила курятину, добавила в фарш говяжью косточку, и подала блюдо Николаю Первому. К удивлению, никакого обмана он не заметил, более того, приказал наградить хозяина трактира за вусный обед. Пожарский испугался, и был вынужден сознаться, что никакой говядины в котлетах не было. При этом, постарался отвести от себя гнев государя, добавив, что «фальшивые» котлеты готовила жена.

Но, царь не только не рассердился, а приказал наградить и Дарью Евдокимовну. Такие котлеты он повелел называть «пожарскими», по фамилии владельца трактира, и включить их в меню царского стола. Вскоре на трактире Пожарского появилась гордая надпись, сообщавшая посетителям, что владельцем является не кто-нибудь, а сам «Пожарский, поставщик двора его Императорского Величества».

Котлетный бизнес Пожарских процветал почти тридцать лет, до смерти Дарьи Пожарской в 1854 году. После этого трактир пришел в упадок. Хотя, котлеты с названием «пожарские» продолжали готовить по всей стране.",1878,29,,historyrussi
