id,date,text,views,forwards,replies
4736,2026-05-13T08:48:06+00:00,"Так венчурный инвестор Аллан Гоббс описывает рынок deeptech. По его мнению, **уникальные hard skills в AI, biotech и neurotech важнее идеальной корпоративной коммуникации**. «Есть люди, с которыми очень сложно работать, но они абсолютно гениальны. Soft skills у них на нуле, но это компенсируется высоким уровнем знаний и опыта», — объясняет Гоббс.

**Как построить карьеру в международной инновационной компании?** Об этом у Naukka Talents стартовал **цикл вебинаров**! Доступ к ним открыт только участникам программы Naukka Talents — регистрируйтесь на платформе, если вы учёный или STEM-специалист: https://talents.naukka.com/candidateportal?register=true",2078,13,0
4735,2026-05-13T05:15:15+00:00,"Нынешние LLM — возможно, только **промежуточный этап развития AI**, а не финальная форма «мыслящей машины». Доктор технических наук Борис Миркин объясняет, что современные модели умеют очень убедительно работать с огромными массивами данных и вероятностями, но всё ещё **не строят устойчивую «карту мира», не обладают настоящей памятью и не формируют понятия** так, как это делает человек.

Поэтому разговор о будущем ИИ рано считать завершённым: **то, что сегодня кажется вершиной AI, через двадцать лет может выглядеть так же наивно**, как старые представления о технологиях будущего.

**Как устроены современные LLM, что такое «галлюцинации» моделей и зачем исследователям кластерный анализ: **https://postnauka.org/talks/158024",2279,27,1
4734,2026-05-12T13:05:28+00:00,"**Израиль стал одной из главных deeptech-держав мира**, превратив постоянную угрозу в источник технологий, стартапов и инженерных талантов.

Разбираемся, **как устроено израильское технологическое чудо:** https://youtu.be/Po17WG32S3o

Гость выпуска — управляющий партнер deeptech-фонда ранних стадий VentureIsrael Роман Гольд.",2244,33,0
4733,2026-05-12T05:20:43+00:00,"Африканские палеоантропы жили в полустабильном климате, который менялся постепенно и не приводил к специализации. Многообразие экологических зон при отсутствии крупных барьеров провоцировало **и культурные различия, и постоянный обмен информацией и генами **— это обеспечивало пластичность и стало эволюционным преимуществом. 

Европейские палеоантропы формировались в условиях ледниковых периодов, которые **вели к специализации и сужали адаптационные возможности.**

**Как люди вышли из Африки? **Разбираем в одном из уроков курса Академии ПостНауки «Антропогенез»: https://postnauka.org/link/evolution_tg",2273,11,0
4732,2026-05-11T16:01:00+00:00,"О продолжительности жизни и разработке лекарств против старения сегодня говорят не только биологи, но и, например, **Международный валютный фонд, который беспокоится о будущем пенсионных систем и социального обеспечения в развитых странах. **Стареющих людей становится все больше, а работать и учиться они могут все меньше. Это плохо и для экономики, и для самих людей. Значительная часть жизни — возможно, до половины — проходит в состоянии функциональной ущербности.

**Что с этим делать и можно ли «починить» старение? **Разбираем с экспертом в области биологии старения и долголетия Петром Федичевым: https://youtu.be/qiK-fGr9QSw?list=PLh6dVTO7f4FbMep18vRy-o92qPFLWKuRV

__Слушать на других платформах: ____https://postnauka.org/link/linktr__",2207,25,0
4731,2026-05-11T06:31:01+00:00,"Тензорный поезд нужен, чтобы **хранить и обрабатывать огромные многомерные массивы данных, которые иначе не помещаются ни в какую память.** Когда у данных много измерений, объём растёт экспоненциально — каждое новое измерение умножает число комбинаций. На каком-то шаге массив перестаёт помещаться в каком-либо реально существующем объёме памяти.

Каждый «вагон» тензорного поезда отвечает за одно измерение данных и связан с соседними. Такое разложение **сокращает объём хранимой информации на несколько порядков **при минимальной потере точности. 

**Иван Оселедец — о тензорных сетях, памяти многомерных данных **и о том, может ли математика предложить ИИ что-то кроме масштаба: https://postnauka.org/longreads/158012",2271,19,0
4730,2026-05-10T15:09:01+00:00,"Ярослав Ашихмин подчёркивает, что профилактика и трансляция отвечают на разные вопросы. Профилактика спрашивает: **«что реально уменьшает риск событий?»**, а трансляция спрашивает: **«как протянуть нитку от лабораторного результата к клинической практике и почему эта нитка так часто обрывается?»**.

Почему биомаркеры не гарантируют пользы: https://postnauka.org/longreads/157939",2216,14,0
4729,2026-05-10T06:35:21+00:00,"Ньютон открыл **законы, которые казались обещанием абсолютного знания о мире**: если известно начальное состояние системы — можно вычислить любое её будущее. На основе этого Лаплас придумал мысленный эксперимент — «демона». **Детерминированный хаос показывает предел этой идеи **— даже полностью подчиняясь законам, система может быть практически непредсказуемой из-за сверхчувствительности к малейшим изменениям.

**5 фактов о хаосе:** https://postnauka.org/lists/158025",2313,34,0
4728,2026-05-09T06:09:01+00:00,"🎙[Научные сверхдержавы, свобода науки и будущее академии](https://youtu.be/DKKKgG5jIqY?list=PLh6dVTO7f4FbMep18vRy-o92qPFLWKuRV) | Ивар ft. Михаил Соколов

[📝Иммунный долг после пандемии: ](http://postnauka.org/talks/158027)почему возвращаются инфекции  
 
📝[Как топологическая фотоника учится обходить рассеяние:](http://postnauka.org/talks/158022) почему физики пытаются заставить свет двигаться только вперед

📝[Кластеры, память и галлюцинации машин:](http://postnauka.org/talks/158024) о чем на самом деле говорят LLM  

📝[5 фактов о хаосе:](http://postnauka.org/lists/158025) как порядок рождает непредсказуемость

[📝Тест:](http://postnauka.org/tests/158026) что вы знаете о научных сверхдержавах 

#PNweekly",2378,11,0
4727,2026-05-08T15:53:01+00:00,"Лазерный **луч состоит из фотонов** — элементарных квантов света. Когда он падает на фотодетектор, каждый **фотон создает электроны** — электрический ток, который можно измерить. Казалось бы, для стабильного лазера этот поток должен быть равномерным, но это не так: из-за квантовых свойств света **количество фотонов в каждый конкретный момент слегка флуктуирует**, то немного больше, то немного меньше. Соответственно, и электрический ток в детекторе тоже флуктуирует. Эти флуктуации называют **дробовым шумом** — по аналогии с тем, как дробинки в ведре производят при падении случайный шум, а не равномерный звук.

**Как физики научились управлять квантовым шумом света и почему без этого не было бы гравитационно-волновой астрономии? **Объясняет Ph.D. по оптическим наукам Михаил Коробко: https://postnauka.org/longreads/158021",2303,19,1
