id,date,text,views,forwards,replies
14188,2026-05-19T11:36:58+00:00,"**Да будет свет: программа летнего фестиваля КАРО/АРТ **🎥

Среди премьер этим летом ждем гонконгский боевик **Кэндзи Танигаки «Живая ярость»**, драмеди венгерского режиссера **Дэниэла Хевера** **«Вольная птица»**, новую картину визионера **Дьёрдя Палфи «Курочка. Пух и прах»**, документальный фильм-путешествие **Венсана Мюнье «Легенды леса»** и **«Зоопарк» Алексея Шабарова** о редких животных и людях, вовлеченных в поддержку их жизни. Увидим на большом экране мистическую драму **Киёси Куросавы «Путешествие к берегу»** впервые за долгое время и новый фильм **Виктора Шамирова «Температура вселенной»**.

А еще смотрим классику и встречаемся в «Октябре» с группой **ZOLOTO**!

И куда же без театра? Смотрим киноверсии **«Белой гвардии»** **Сергея Женовача** в МХТ имени А. П. Чехова, **«Ревизора»** **Валерия Фокина** со сцены Александринского театра, а также спектакль-фильм **«Дорога на Чаттанугу»** **Анатолия Васильева**.

📽️  17—21 июня мы впервые проведем летний международный фестиваль авторского кино сразу в 6 городах: Москве, Санкт-Петербурге, Краснодаре, Новосибирске, Екатеринбурге и Калининграде.

🎟️ **Билеты **[**уже в продаже**](https://karofilm.ru/films/123)",1748,34,0
14187,2026-05-18T18:19:04+00:00,"Старый добрый зомби-хоррор: смотрим трейлер «Колонии» от режиссера «Поезда в Пусан» 🧟

В своем новом фильме Ён Сан Хо вновь демонстрирует умение соединять физический ужас с психологическим и социальным напряжением, превращая историю о выживании в метафору распада общества. Премьера [«Колонии» ](https://karofilm.ru/film/16041?date=2026-05-24)пройдет в КАРО/АРТ сразу в двух городах: 

**24 мая в 18:00 / Москва, киноцентр «Октябрь»**
Смотрим в большом зале! После показа — обсуждение с киноведом Александром Симиндейкиным

**24 мая в 18:00 / Санкт-Петербург, КАРО «Варшавский Экспресс»**
Фильм представит и обсудит со зрителями продюсер Владислав Пастернак",1338,14,0
14186,2026-05-18T15:13:32+00:00,"**Может ли ребенок вынести то, с чем не справляются взрослые?**

12-летний Зейн не может точно ответить на вопрос, сколько у него братьев и сестер, но уверен, что детей в его семье должно было быть меньше. Несмотря на юный возраст, Зейн нелегально работает, следит за младшими, помогает старшим, ищет деньги и документы на эмиграцию в Швецию. Он смотрит на мир с нескрываемой ненавистью. Ему есть что ненавидеть… Самое главное — он только что получил пятилетний срок. В тюрьме Зейн подает в суд на родителей. За то, что они дали ему жизнь.

«Капернаум» — фильм Надин Лабаки, получивший приз жюри Каннского кинофестиваля и номинацию на «Оскар». Это пронзительный и болезненно честный фильм о том, «о чем предпочитают умалчивать». В главных ролях — не профессиональные актеры из Бейрута, в трущобах которого и происходит действие картины.

[**Капернаум**](https://karofilm.ru/film/15813?date=2026-06-03)
3 июня в 19:30 / Москва, киноцентр «Октябрь»
Разговор __→__ киновед Алиса Мамедова

Партнеры показа: кинопрокатные компании Vereteno и RWV Film",1329,31,0
14185,2026-05-18T10:22:51+00:00,,1528,9,
14184,2026-05-18T10:22:51+00:00,,1549,9,
14183,2026-05-18T10:22:51+00:00,,1524,9,
14182,2026-05-18T10:22:51+00:00,,1458,9,
14181,2026-05-18T10:22:51+00:00,"**На этой неделе в КАРО/АРТ**

[**«ЧаО» **](https://karofilm.ru/film/15817?date=2026-05-18)
Премьера новой захватывающей авторской анимации Ясухиро Аоки об обычном офисном работнике, который получает предложение жениться на принцессе из королевства русалок.

[**«Прах времен» **](https://karofilm.ru/film/15525?date=2026-05-19)
В цикле «Разбирая Карвая» смотрим и обсуждаем фильм режиссера в жанре исторического уся.

[**«Нанкинский фотограф» **](https://karofilm.ru/film/15611?date=2026-05-23)
В Екатеринбурге пройдет показ из кинопрограммы современного китайского кино «Электрические тени». Спецпоказ пройдет в компании преподавателей Института Конфуция.

[**«Колония» **](https://karofilm.ru/film/16041?date=2026-05-24)
Премьера новой работы Ён Сан Хо, режиссера «Поезд в Пусан», мировая премьера которого только-только состоялась на 79-м Каннском кинофестивале в программе «Полуночные показы».

📽️",1424,9,0
14180,2026-05-17T10:13:27+00:00,"Один из главных шедевров в истории мирового кинематографа — историческая драма «Расёмон» Акиры Куросавы. Проведем специальный показ и поговорим о японском Средневековье с кинокуратором Максимом Павловым.

Картина отталкивается от двух произведениях Рюноскэ Акутагавы — сюжет позаимствован из рассказа «В чаще», а название и место действия — из «Ворот Расёмон». На родине «Расёмон» считали не самым достойным представителем достижений японского кино, триумф фильма Куросавы списали на то, что он был экзотикой для западной публики, достаточно вестернизированным и не слишком «японским». Но «Расёмон» произвел революцию в сторителлинге или открыл кино Японии миру (заодно заслужив фурор в Венеции и специальный «Оскар»). 

[**«Расёмон»**](https://karofilm.ru/film/15662?date=2026-06-06)
**6 июня в 17:00 / Москва, киноцентр «Октябрь»**
**Разговор с кинокуратором Максимом Павловым**

📽️ **Такие разные Средние века. Воображаемое Средневековье на киноэкране**",1565,17,0
14179,2026-05-16T12:40:31+00:00,,1493,16,
